Impressions,Saves,Comments,Shares,Likes,Profile Visits,Follows,Hashtag Count,Caption Length,Engagement Rate
3920,98,9,5,162,35,2,0,0,6.9897959183673475
5394,194,7,14,224,48,10,0,0,8.138672599184279
4021,41,11,1,131,62,12,0,0,4.575976125341954
4528,172,10,7,213,23,8,0,0,8.87809187279152
2518,96,5,4,123,8,0,0,0,9.054805401111993
3884,74,7,10,144,9,2,0,0,6.050463439752832
2621,22,5,1,76,26,0,0,0,3.967951163677985
3541,135,4,9,124,12,6,0,0,7.681445919231855
3749,155,6,8,159,36,4,0,0,8.748999733262202
4115,122,6,3,191,31,6,0,0,7.825030376670716
2218,28,6,3,81,29,4,0,0,5.320108205590622
3234,122,8,14,151,15,0,0,0,9.12183055040198
4344,119,7,11,162,8,2,0,0,6.8830570902394115
3216,121,5,5,142,20,4,0,0,8.488805970149253
9453,100,6,10,294,181,42,0,0,4.337247434676822
5055,101,7,11,159,17,6,0,0,5.499505440158259
4002,111,17,18,205,16,2,0,0,8.770614692653673
3169,106,8,1,121,21,2,0,0,7.44714420952982
6168,82,6,6,151,77,30,0,0,3.972114137483787
2407,40,8,20,72,10,0,0,0,5.8163689239717495
2064,49,4,5,76,9,0,0,0,6.492248062015504
3973,72,3,4,91,11,24,0,0,4.278882456581928
7281,167,7,9,195,144,100,0,0,5.19159456118665
3052,63,5,14,129,14,2,0,0,6.9134993446920046
4628,144,8,3,160,10,4,0,0,6.806395851339672
4082,135,11,5,175,19,6,0,0,7.986281234688879
5394,61,19,6,147,69,6,0,0,4.31961438635521
2766,40,10,4,114,11,6,0,0,6.073752711496746
3924,139,11,3,151,19,2,0,0,7.747196738022426
3015,52,11,4,92,9,2,0,0,5.273631840796019
6666,84,9,3,214,57,20,0,0,4.65046504650465
3854,81,11,15,150,13,2,0,0,6.668396471198755
4355,79,8,4,122,11,4,0,0,4.890929965556831
4343,105,6,3,152,24,8,0,0,6.124798526364264
6108,90,7,8,196,81,26,0,0,4.927963326784545
2523,34,6,0,86,4,2,0,0,4.9940546967895365
2327,45,3,3,85,7,2,0,0,5.844434894714224
3990,98,4,11,156,14,4,0,0,6.741854636591478
2191,35,2,1,72,18,0,0,0,5.020538566864445
1941,49,6,3,82,8,2,0,0,7.212776919113859
16062,252,6,20,416,330,94,0,0,4.3207570663678245
4998,167,4,13,180,21,8,0,0,7.282913165266107
4289,111,8,4,150,19,18,0,0,6.365120074609466
3880,90,4,2,127,32,10,0,0,5.747422680412371
3786,144,9,5,167,19,4,0,0,8.584257791864765
4298,263,6,19,225,21,4,0,0,11.935784085621219
3630,137,4,10,137,14,4,0,0,7.933884297520661
2826,67,3,3,114,30,4,0,0,6.617126680820948
7407,288,5,15,263,39,18,0,0,7.708923990819495
10386,668,8,41,328,42,38,0,0,10.061621413441172
2998,42,4,1,126,31,10,0,0,5.770513675783856
7018,342,9,16,236,20,12,0,0,8.592191507552009
2941,48,2,1,99,12,4,0,0,5.100306018361102
6432,250,11,8,212,22,4,0,0,7.47823383084577
10667,219,13,15,297,306,74,0,0,5.099840629980313
3988,118,6,9,142,13,0,0,0,6.89568706118355
4978,143,9,2,186,26,6,0,0,6.830052229811169
3388,99,1,7,112,16,6,0,0,6.463990554899645
4467,89,3,16,149,15,0,0,0,5.753301992388628
3246,148,5,14,132,15,6,0,0,9.211337030191004
5072,42,7,6,115,39,12,0,0,3.3517350157728707
6339,171,8,5,248,21,10,0,0,6.814955040227165
4239,109,2,1,178,8,8,0,0,6.841236140599198
3454,38,0,0,107,45,8,0,0,4.1980312680949625
7571,421,7,12,269,50,46,0,0,9.36468101968036
3333,38,3,5,96,37,12,0,0,4.26042604260426
3818,116,6,0,134,25,10,0,0,6.705081194342588
10933,225,13,15,301,347,94,0,0,5.067227659379859
5058,144,9,2,187,26,6,0,0,6.761565836298933
3601,51,0,3,94,48,10,0,0,4.109969452929742
3480,104,1,7,114,16,6,0,0,6.494252873563218
3525,33,5,0,96,26,4,0,0,3.801418439716312
3606,174,5,15,138,17,12,0,0,9.20687742651137
5542,46,7,6,122,52,16,0,0,3.265968964272826
6559,179,8,6,257,22,12,0,0,6.860801951517
3623,34,3,0,95,41,8,0,0,3.643389456251725
10493,99,9,1,244,155,32,0,0,3.3641475269227104
4446,174,6,11,190,12,8,0,0,8.569500674763834
2957,70,4,2,118,22,16,0,0,6.560703415623943
5538,149,6,6,178,20,6,0,0,6.121343445287107
4681,207,7,12,170,23,10,0,0,8.459730826746421
5273,318,9,22,250,25,10,0,0,11.359757253935141
5409,393,10,27,275,38,14,0,0,13.033832501386577
5323,152,6,13,192,42,8,0,0,6.819462708998684
8001,83,8,7,203,92,14,0,0,3.762029746281715
4150,74,4,2,145,75,28,0,0,5.421686746987952
4609,94,1,12,168,21,18,0,0,5.966587112171838
6348,188,4,15,194,26,12,0,0,6.316950220541903
11068,214,7,8,250,39,34,0,0,4.3277918323093605
7231,73,8,3,171,74,26,0,0,3.526483197344766
17396,285,7,7,416,467,260,0,0,4.1101402621292245
6814,469,8,22,249,24,16,0,0,10.97739947167596
17713,504,3,23,308,70,96,0,0,4.730988539490769
5563,149,5,8,163,22,20,0,0,5.842171490203127
4842,55,6,4,86,46,30,0,0,3.118546055349029
11149,273,4,13,210,61,58,0,0,4.484707148623195
10206,182,10,17,172,237,100,0,0,3.7330981775426224
13700,573,2,38,373,73,80,0,0,7.197080291970803
5731,135,4,1,148,20,18,0,0,5.025300994590822
4139,36,0,1,92,34,10,0,0,3.1166948538294275
32695,1095,2,75,549,148,214,0,0,5.263801804557272
36919,653,5,26,443,611,228,0,0,3.0526287277553563
